route_id,route_short_name,route_type,agency_id
18970_700,S2X,700,1
18950_109,S3,109,1
18949_109,S26,109,1
17614_109,S3,109,1
16815_109,S7,109,1
16814_109,S7,109,1
14383_700,S42,700,1
12003_109,S85,109,1
11537_109,S46,109,1
11536_109,S46,109,1
11387_700,S75,700,1
11342_700,S41,700,1
10456_700,S5,700,1
10278_109,S2,109,1
10277_109,S1,109,1
10276_109,S1,109,1
10272_700,S7,700,1
10271_109,S9,109,1
10231_700,S2,700,1
10229_109,S47,109,1
10227_109,S42,109,1
10226_109,S42,109,1
10224_109,S41,109,1
10223_109,S41,109,1
10170_109,S9,109,1
10167_109,S8,109,1
10166_109,S75,109,1
10165_109,S75,109,1
10163_109,S7,109,1
10162_109,S7,109,1
10160_109,S5,109,1
10159_109,S5,109,1
10158_109,S5,109,1
10157_109,S5,109,1
10155_109,S46,109,1
10154_109,S45,109,1
10150_109,S3,109,1
10149_109,S3,109,1
10148_109,S3,109,1
10145_109,S25,109,1
10144_109,S2,109,1
10143_109,S2,109,1
10142_109,S1,109,1
10141_109,S1,109,1
17526_400,U9,400,796
17525_400,U8,400,796
17523_400,U7,400,796
17522_700,U7,700,796
17521_400,U6,400,796
17519_400,U55,400,796
17518_400,U5,400,796
17516_400,U4,400,796
17515_400,U3,400,796
17514_400,U2,400,796
17512_400,U1,400,796
