station_name,station_id,line_name
Warschauer Straße,101,U1
Schlesisches Tor,102,U1
Görlitzer Bahnhof,103,U1
Kottbusser Tor,104,U1
Prinzenstraße,105,U1
Hallesches Tor,106,U1
Möckernbrücke,107,U1
Gleisdreieck,108,U1
Kurfürstenstraße,109,U1
Nollendorfplatz,110,U1
Wittenbergplatz,111,U1
Kurfürstendamm,112,U1
Uhlandstraße,113,U1
Pankow,201,U2
Vinetastraße,202,U2
Schönhauser Allee,203,U2
Eberswalder Straße,204,U2
Senefelderplatz,205,U2
Rosa-Luxemburg-Platz,206,U2
Alexanderplatz,207,U2
Klostertunnel,208,U2
Klosterstraße,209,U2
Märkisches Museum,210,U2
Spittelmarkt,211,U2
Hausvogteiplatz,212,U2
Stadtmitte,213,U2
Mohrenstraße,214,U2
Potsdamer Platz,215,U2
Mendelssohn-Bartholdy-Park,216,U2
Gleisdreieck,217,U2
Bülowstraße,218,U2
Nollendorfplatz,219,U2
Wittenbergplatz,220,U2
Zoologischer Garten,221,U2
Ernst-Reuter-Platz,222,U2
Deutsche Oper,223,U2
Bismarckstraße,224,U2
Sophie-Charlotte-Platz,225,U2
Kaiserdamm,226,U2
Theodor-Heuss-Platz,227,U2
Neu-Westend,228,U2
Olympia-Stadion,229,U2
Ruhleben,230,U2
Warschauer Straße,301,U3
Schlesisches Tor,302,U3
Görlitzer Bahnhof,303,U3
Kottbusser Tor,304,U3
Prinzenstraße,305,U3
Hallesches Tor,306,U3
Möckernbrücke,307,U3
Gleisdreieck,308,U3
Kurfürstenstraße,309,U3
Nollendorfplatz,310,U3
Wittenbergplatz,311,U3
Augsburger Straße,312,U3
Nürnberger Platz,313,U3
Spichernstraße,314,U3
Hohenzollernplatz,315,U3
Fehrbelliner Platz,316,U3
Heidelberger Platz,317,U3
Rüdesheimer Platz,318,U3
Breitenbachplatz,319,U3
Podbielskiallee,320,U3
Dahlem-Dorf,321,U3
Freie Universität,322,U3
Oskar-Helene-Heim,323,U3
Onkel Toms Hütte,324,U3
Krumme Lanke,325,U3
Nollendorfplatz,401,U4
Viktoria-Luise-Platz,402,U4
Bayerischer Platz,403,U4
Rathaus Schöneberg,404,U4
Innsbrucker Platz,405,U4
Hönow,501,U5
Louis-Lewin-Straße,502,U5
Hellersdorf,503,U5
Cottbusser Platz,504,U5
Kienberg,505,U5
Kaulsdorf-Nord,506,U5
Wuhletal,507,U5
Elsterwerdaer Platz,508,U5
Biesdorf-Süd,509,U5
Tierpark,510,U5
Friedrichsfelde,511,U5
Lichtenberg,512,U5
Magdalenenstraße,513,U5
Frankfurter Allee,514,U5
Samariterstraße,515,U5
Frankfurter Tor,516,U5
Weberwiese,517,U5
Strausberger Platz,518,U5
Schillingstraße,519,U5
Alexanderplatz,520,U5
Alt-Tegel,601,U6
Borsigwerke,602,U6
Holzhauser Straße,603,U6
Otisstraße,604,U6
Scharnweberstraße,605,U6
Kurt-Schumacher-Platz,606,U6
Afrikanische Straße,607,U6
Rehberge,608,U6
Seestraße,609,U6
U9,610,U6
Leopoldplatz,611,U6
Wedding,612,U6
Reinickendorfer Straße,613,U6
Schwartzkopffstraße,614,U6
Naturkundemuseum,615,U6
Oranienburger Tor,616,U6
Friedrichstraße,617,U6
Unter den Linden,618,U6
Französische Straße,619,U6
Stadtmitte,620,U6
Kochstraße,621,U6
Hallesches Tor,622,U6
U7,623,U6
Mehringdamm,624,U6
U7,625,U6
Platz der Luftbrücke,626,U6
Paradestraße,627,U6
Tempelhof,628,U6
Alt-Tempelhof,629,U6
Kaiserin-Augusta-Straße,630,U6
Ullsteinstraße,631,U6
Westphalweg,632,U6
Alt-Mariendorf,633,U6
Kehranlage,701,U7
Rathaus Spandau,702,U7
Altstadt Spandau,703,U7
Zitadelle,704,U7
Haselhorst,705,U7
Paulsternstraße,706,U7
Rohrdamm,707,U7
Siemensdamm,708,U7
Halemweg,709,U7
Jakob-Kaiser-Platz,710,U7
Jungfernheide,711,U7
Mierendorffplatz,712,U7
Richard-Wagner-Platz,713,U7
Bismarckstraße,714,U7
Wilmersdorfer Straße,715,U7
Adenauerplatz,716,U7
Konstanzer Straße,717,U7
Fehrbelliner Platz,718,U7
Blissestraße,719,U7
Berliner Straße,720,U7
Bayerischer Platz,721,U7
Eisenacher Straße,722,U7
Kleistpark,723,U7
Yorckstraße,724,U7
Möckernbrücke,725,U7
Mehringdamm,726,U7
Gneisenaustraße,727,U7
Südstern,728,U7
Hermannplatz,729,U7
Rathaus Neukölln,730,U7
Karl-Marx-Straße,731,U7
Neukölln,732,U7
Grenzallee,733,U7
Blaschkoallee,734,U7
Parchimer Allee,735,U7
Britz-Süd,736,U7
Johannisthaler Chaussee,737,U7
Lipschitzallee,738,U7
Wutzkyallee,739,U7
Zwickauer Damm,740,U7
Rudow,741,U7
Kehranlage,742,U7
Wittenau,801,U8
Rathaus Reinickendorf,802,U8
Karl-Bonhoeffer-Nervenklinik,803,U8
Lindauer Allee,804,U8
Paracelsus-Bad,805,U8
Residenzstraße,806,U8
Franz-Neumann-Platz,807,U8
Osloer Straße,808,U8
Pankstraße,809,U8
Gesundbrunnen,810,U8
Voltastraße,811,U8
Bernauer Straße,812,U8
Rosenthaler Platz,813,U8
Weinmeisterstraße,814,U8
Alexanderplatz,815,U8
Jannowitzbrücke,816,U8
Waisentunnel,817,U8
Heinrich-Heine-Straße,818,U8
Moritzplatz,819,U8
Kottbusser Tor,820,U8
Schönleinstraße,821,U8
Hermannplatz,822,U8
Boddinstraße,823,U8
Leinestraße,824,U8
Hermannstraße,825,U8
Osloer Straße,901,U9
Nauener Platz,902,U9
Leopoldplatz,903,U9
Amrumer Straße,904,U9
Westhafen,905,U9
Birkenstraße,906,U9
Turmstraße,907,U9
Hansaplatz,908,U9
Zoologischer Garten,909,U9
Kurfürstendamm,910,U9
Spichernstraße,911,U9
Güntzelstraße,912,U9
Berliner Straße,913,U9
Bundesplatz,914,U9
Friedrich-Wilhelm-Platz,915,U9
Walther-Schreiber-Platz,916,U9
Schloßstraße,917,U9
Rathaus Steglitz,918,U9
